id,loc,x,y,date,n_detections
A69-1602-9716,SB-7,-119.0418333,33.464,2018-09-29,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-10-22,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-10-23,6
A69-1602-9716,SB-9,-119.0260167,33.471,2018-10-24,6
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-09-19,6
A69-1602-9718,SB-1,-119.025,33.488,2019-06-12,6
A69-1602-9718,SB-1,-119.025,33.488,2019-09-20,6
A69-1602-9718,SB-2,-119.03167,33.49052,2018-08-15,6
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-07,6
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-13,6
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-15,6
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-24,6
A69-1602-9718,SB-6,-119.0457167,33.468,2019-07-29,6
A69-1602-9718,SB-7,-119.0418333,33.464,2018-10-08,6
A69-1602-9718,SB-7,-119.0418333,33.464,2019-05-21,6
A69-1602-9718,SB-9,-119.0260167,33.471,2018-09-02,6
A69-1602-9718,SB-9,-119.0260167,33.471,2018-09-07,6
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-08,6
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-11,6
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-16,6
A69-1602-9718,SB-9,-119.0260167,33.471,2019-05-29,6
A69-1602-9718,SB-9,-119.0260167,33.471,2019-06-02,6
A69-1602-9718,SB-9,-119.0260167,33.471,2019-08-28,6
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-09-09,6
A69-1602-9719,SB-1,-119.025,33.488,2019-07-05,6
A69-1602-9719,SB-3,-119.04055,33.487,2019-07-12,6
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-07-26,6
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-08-18,6
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-17,6
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-19,6
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-23,6
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-07-05,6
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-07-11,6
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-07-25,6
A69-1602-9720,SB-1,-119.025,33.488,2019-07-10,6
A69-1602-9720,SB-1,-119.025,33.488,2019-09-29,6
A69-1602-9720,SB-10,-119.0228,33.484,2019-09-08,6
A69-1602-9720,SB-10,-119.0228,33.484,2019-10-03,6
A69-1602-9720,SB-10,-119.0228,33.484,2019-10-10,6
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-18,6
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-19,6
A69-1602-9720,SB-6,-119.0457167,33.468,2019-10-02,6
A69-1602-9720,WR-E,-119.0528,33.49324,2019-09-05,6
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-07-30,6
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-08-05,6
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-08-13,6
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-08-21,6
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-09-17,6
A69-1602-9721,Mound Offshore,-119.0168,33.4876,2019-07-26,6
A69-1602-9721,Mound Offshore,-119.0168,33.4876,2019-08-26,6
A69-1602-9721,SB-1,-119.025,33.488,2019-08-25,6
A69-1602-9721,SB-10,-119.0228,33.484,2019-09-11,6
A69-1602-9721,SB-10,-119.0228,33.484,2019-09-17,6
A69-1602-9721,SB-10,-119.0228,33.484,2019-09-29,6
A69-1602-9721,SB-5,-119.0476,33.476,2019-07-08,6
